ID,Airline,FlightNo,Departure,Arrival,DepTime
1,UA,UAL609,ORD,SFO, 6:16PM 
2,AS,ASH3775,ORD,KMEM, 7:12PM 
3,AS,ASQ6117,ORD,KPIT, 8:58PM 
4,KA,KAL223,ORD,LAX, 11:35PM 
5,QF,QFA7558,KORD,KLAX, 12:34AM 
6,KA,KAL233,ORD,SEA, 12:44AM 
7,LO,LOF3342,ORD,MLI, 1:12AM 
8,AM,AMX683,ORD,MMMX, 1:18AM 
9,CL,CLX771,KORD,ELLX, 1:59AM 
10,NC,NCA190,KORD,EDFH, 2:00AM 
11,QT,QTR6060,ORD,EHAM, 2:15AM 
12,AM,AMX661,ORD,MMGL, 2:17AM 
13,AA,AAR247,ORD,ANC, 3:45AM 
14,AW,AWE602,ORD,PHX, 5:00AM 
15,SQ,SQC7971,ORD,EBBR, 5:20AM 
16,UA,UAL589,ORD,IAH, 5:20AM 
17,NK,NKS409,ORD,FLL, 5:30AM 
18,AA,AAL1270,ORD,MIA, 5:40AM 
19,AW,AWE1982,ORD,CLT, 5:45AM 
20,AA,AAL398,ORD,LGA, 5:50AM 
21,NK,NKS224,ORD,LGA, 5:54AM 
22,AA,AAL2301,ORD,DFW, 5:55AM 
23,RP,RPA4243,ORD,DCA, 6:00AM 
24,FL,FLG3567,ORD,MEM, 6:00AM 
25,AS,ASQ3811,ORD,JAX, 6:00AM 
26,DA,DAL977,ORD,ATL, 6:00AM 
27,AW,AWE1822,ORD,PHL, 6:00AM 
28,UA,UAL1681,ORD,CLE, 6:00AM 
29,UA,UAL668,ORD,LGA, 6:00AM 
30,LO,LOF3368,ORD,IAD, 6:00AM 
31,UA,UAL1180,ORD,EWR, 6:00AM 
32,UA,UAL1224,ORD,DEN, 6:00AM 
33,UA,UAL1553,ORD,DCA, 6:00AM 
34,UA,UAL1627,ORD,MCO, 6:01AM 
35,GJ,GJS3692,ORD,YUL, 6:05AM 
36,EG,EGF2848,ORD,CMH, 6:05AM 
37,SK,SKW5370,ORD,MBS, 6:16AM 
38,UA,UAL524,ORD,BOS, 6:16AM 
39,AS,ASQ6189,ORD,YOW, 6:20AM 
40,EG,EGF3602,ORD,CLT, 6:20AM 
41,UA,UAL771,ORD,DFW, 6:20AM 
42,CH,CHQ5286,ORD,HPN, 6:20AM 
43,UA,UAL1524,ORD,IAH, 6:23AM 
44,SK,SKW6200,ORD,MSP, 6:24AM 
45,RP,RPA4223,ORD,STL, 6:25AM 
46,JB,JBU1012,ORD,BOS, 6:25AM 
47,EG,EGF3049,ORD,ATL, 6:25AM 
48,SK,SKW5396,ORD,MKE, 6:29AM 
49,SK,SKV7394,ORD,YYZ, 6:30AM 
50,TC,TCF5932,ORD,LGA, 6:30AM 
51,UA,UAL212,ORD,YYZ, 6:30AM 
52,AA,AAL394,ORD,LGA, 6:30AM 
53,SK,SKW6525,ORD,MSN, 6:34AM 
54,CH,CHQ4997,ORD,RDU, 6:34AM 
55,UA,UAL557,ORD,SRQ, 6:35AM 
56,AA,AAL280,ORD,BOS, 6:35AM 
57,EG,EGF3193,ORD,PHL, 6:35AM 
58,SK,SKW4684,ORD,CVG, 6:35AM 
59,SK,SKW5361,ORD,FWA, 6:36AM 
60,TC,TCF3449,ORD,ATL, 6:36AM 
61,AA,AAL985,ORD,RDU, 6:40AM 
62,EG,EGF2785,ORD,YYZ, 6:40AM 
63,EG,EGF3235,ORD,CLE, 6:40AM 
64,AS,ASQ5900,ORD,SYR, 6:44AM 
65,AA,AAL1463,ORD,FLL, 6:45AM 
66,AA,AAL2303,ORD,DFW, 6:45AM 
67,DA,DAL1247,ORD,DTW, 6:45AM 
68,NK,NKS729,ORD,TPA, 6:50AM 
69,EG,EGF3300,ORD,DSM, 6:50AM 
70,UA,UAL376,ORD,PHL, 6:53AM 
71,UA,UAL1517,ORD,RSW, 6:53AM 
72,DA,DAL1255,ORD,MSP, 6:54AM 
73,EG,EGF2806,ORD,IND, 6:55AM 
74,AS,ASQ5910,ORD,BHM, 6:57AM 
75,AS,ASQ5882,ORD,BNA, 6:58AM 
76,EG,EGF3633,ORD,BDL, 7:00AM 
77,AW,AWE424,ORD,PHX, 7:00AM 
78,AA,AAL1692,ORD,MCO, 7:00AM 
79,AS,ASH3746,ORD,DSM, 7:00AM 
80,LO,LOF3350,ORD,MDT, 7:00AM 
81,UA,UAL690,ORD,LGA, 7:00AM 
82,LO,LOF3426,ORD,ROA, 7:03AM 
83,EG,EGF3611,ORD,EWR, 7:05AM 
84,UA,UAL499,ORD,SFO, 7:05AM 
85,UA,UAL634,ORD,EWR, 7:05AM 
86,CH,CHQ5360,ORD,SDF, 7:05AM 
87,EG,EGF3097,ORD,CVG, 7:05AM 
88,AA,AAL1480,ORD,RSW, 7:05AM 
89,TC,TCF3490,ORD,DCA, 7:05AM 
90,SK,SKW5185,ORD,CLE, 7:07AM 
91,AS,ASQ4585,ORD,STL, 7:09AM 
92,AS,ASQ5839,ORD,PIT, 7:10AM 
93,AS,ASQ4357,ORD,OMA, 7:10AM 
94,AM,AMX689,ORD,MMMX, 7:10AM 
95,LO,LOF3347,ORD,RIC, 7:10AM 
96,UA,UAL1245,ORD,MSP, 7:13AM 
97,DA,DAL1477,ORD,ATL, 7:15AM 
98,NK,NKS731,ORD,LAX, 7:15AM 
99,UA,UAL381,ORD,IAH, 7:19AM 
100,EG,EGF2983,ORD,MCI, 7:20AM 
101,EG,EGF3226,ORD,CID, 7:20AM 
102,CH,CHQ4993,ORD,GRR, 7:25AM 
103,AA,AAL1047,ORD,LAX, 7:25AM 
104,AS,ASQ4486,ORD,BUF, 7:26AM 
105,AW,AWE1746,ORD,PHL, 7:26AM 
106,LO,LOF3348,ORD,DTW, 7:27AM 
107,TC,TCF3493,ORD,SBN, 7:29AM 
108,TC,TCF5934,ORD,LGA, 7:30AM 
109,AA,AAL1585,ORD,SFO, 7:30AM 
110,SK,SKW5299,ORD,MKE, 7:35AM 
111,EG,EGF3642,ORD,BNA, 7:35AM 
112,RP,RPA4261,ORD,PIT, 7:40AM 
113,AS,ASQ5814,ORD,BTV, 7:40AM 
114,AS,ASQ4559,ORD,IND, 7:40AM 
115,AW,AWE2077,ORD,CLT, 7:40AM 
116,AA,AAL92,ORD,MKJS, 7:40AM 
117,AS,ASQ5690,ORD,BDL, 7:42AM 
118,SK,SKW4488,ORD,SLC, 7:45AM 
119,AS,ASQ5954,ORD,CID, 7:49AM 
120,WB,WBR2501,ORD,DEC, 7:50AM 
121,AA,AAL1417,ORD,MMUN, 7:50AM 
122,AA,AAL1078,ORD,MIA, 7:50AM 
123,LO,LOF3356,ORD,MLI, 7:50AM 
124,AS,ASQ4213,ORD,HPN, 7:51AM 
125,AA,AAL97,ORD,PBI, 7:55AM 
126,AA,AAL392,ORD,LGA, 7:55AM 
127,EG,EGF3353,ORD,DTW, 7:55AM 
128,EG,EGF3364,ORD,LIT, 7:55AM 
129,AS,ASQ5995,ORD,CAK, 7:58AM 
130,AS,ASQ5849,ORD,MSN, 7:58AM 
131,AS,ASH3768,ORD,CHS, 7:59AM 
132,CM,CMP236,ORD,MPTO, 8:00AM 
133,AA,AAL1087,ORD,MMSD, 8:00AM 
134,AA,AAL229,ORD,TPA, 8:00AM 
135,UA,UAL1156,ORD,SAN, 8:00AM 
136,CH,CHQ5285,ORD,RIC, 8:00AM 
137,RP,RPA4348,ORD,MSP, 8:00AM 
138,NK,NKS121,ORD,RSW, 8:00AM 
